city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg,,,,,,,,,,,
Hangzhou,20190305,9.208333333333334,65.33333333333333,1.03875,101.625,67.41666666666667,57,90.75,,,,,,,,,,,
Harbin,20190305,27.291666666666668,56.29166666666666,1.5095833333333333,171.25,123.83333333333331,91,165.25,,,,,,,,,,,
Hefei,20190305,5.416666666666667,55.875,0.9620833333333332,81,79.70833333333333,69,106.04166666666669,,,,,,,,,,,
Hohhot,20190305,13.791666666666666,31.5,0.835,50.75,16,90,47.66666666666666,,,,,,,,,,,
Jinan,20190305,19.70833333333333,58.625,1.0375,162.91666666666666,100,127,131.5,,,,,,,,,,,
Kunming,20190305,9.708333333333334,17.875,0.4683333333333333,41.583333333333336,24.70833333333333,86,42.125,,,,,,,,,,,
Lanzhou,20190305,24.291666666666668,63.29166666666666,1.0220833333333337,84.25,43.875,121,67.625,,,,,,,,,,,
Lhasa,20190305,4,10.708333333333334,0.4870833333333333,24.791666666666668,9.625,110,32.75,,,,,,,,,,,
Nanchang,20190305,4.416666666666667,41.5,0.9245833333333334,41.375,21.875,72,40.333333333333336,,,,,,,,,,,
Nanjing,20190305,9.166666666666666,45.79166666666666,1.1204166666666666,103.5,74.04166666666667,92,98.91666666666669,,,,,,,,,,,
Nanning,20190305,6.666666666666667,26.25,0.6954166666666667,40.16666666666666,25.20833333333333,37,41.54166666666666,,,,,,,,,,,
Shanghai,20190305,7.291666666666667,55.79166666666666,0.8104166666666667,89.875,84.625,95,112.375,,,,,,,,,,,
Shenyang,20190305,38.66666666666666,86.45833333333333,2.23,256.4583333333333,188.5,60,231.08333333333331,,,,,,,,,,,
Shijiazhuang,20190305,20.875,59.25,1.5820833333333333,244.79166666666663,156.20833333333334,117,197.33333333333331,,,,,,,,,,,
Taiyuan,20190305,20.83333333333333,52,0.9958333333333332,113,59.66666666666666,94,93.91666666666669,,,,,,,,,,,
Tianjin,20190305,11.375,54.66666666666666,1.41,110.72222222222224,104.625,90,146.875,,,,,,,,,,,
Urumqi,20190305,9.083333333333334,73.375,2.2516666666666665,114.875,126.08333333333331,98,164.41666666666666,,,,,,,,,,,
Wuhan,20190305,6.291666666666667,42.5,0.8266666666666667,46.75,38.458333333333336,76,54.16666666666666,,,,,,,,,,,
Xi'an,20190305,9.25,66.29166666666667,1.19375,125.125,63.29166666666666,91,88.25,,,,,,,,,,,
Xining,20190305,15.416666666666666,39.25,1.1766666666666667,54.125,32.75,116,51.66666666666666,,,,,,,,,,,
Yinchuan,20190305,13.333333333333334,27.45833333333333,0.7920833333333334,57.5,26.125,98,52.79166666666666,,,,,,,,,,,
Zhengzhou,20190305,15.666666666666666,51.333333333333336,1.0320833333333332,130.29166666666666,106.375,119,140.125,,,,,,,,,,,
Beijing,20190306,2.363636363636364,15.181818181818182,0.2763636363636363,20.363636363636363,8.454545454545455,83,25.181818181818183,,,,,,,,,,,
Changchun,20190306,9.318181818181818,25.772727272727277,0.5204545454545454,52.68181818181818,24.045454545454547,83,49.40909090909091,,,,,,,,,,,
Changsha,20190306,6.454545454545454,42.27272727272727,0.9877272727272728,54,54.18181818181818,57,74.09090909,,,,,,,,,,,
Chengdu,20190306,5.409090909090909,55.54545454545455,0.8040909090909092,57.86363636363637,38.68181818181818,55,55.18181818181818,,,,,,,,,,,
Chongqing,20190306,7.090909090909091,39.68181818181818,0.9154545454545456,69.77272727272727,51.72727272727273,12,70.95454545454545,,,,,,,,,,,
Fuzhou,20190306,4.045454545454546,29.227272727272727,0.7613636363636364,20.65,13.318181818181818,78,25.318181818181817,,,,,,,,,,,
Guangzhou,20190306,4.727272727272728,40.63636363636363,0.8254545454545454,18.045454545454547,10.909090909090908,32,21.363636363636363,,,,,,,,,,,
Guiyang,20190306,12.727272727272728,22.272727272727277,0.6245454545454545,57.45454545454545,40.90909090909091,72,58.68181818181818,,,,,,,,,,,
Haikou,20190306,6,16.045454545454547,0.4468181818181818,34.59090909090909,19.545454545454547,53,35.31818181818182,,,,,,,,,,,
Hangzhou,20190306,8.045454545454545,46.63636363636363,0.9763636363636364,60.27272727272727,37.90909090909091,78,56.09090909090909,,,,,,,,,,,
Harbin,20190306,15.363636363636363,20.818181818181817,0.6213636363636363,36.77272727272727,17.136363636363637,78,36.59090909090909,,,,,,,,,,,
Hefei,20190306,6.954545454545454,54.04545454545455,1.0581818181818183,114.94444444444444,101.0909090909091,100,133.8181818181818,,,,,,,,,,,
Hohhot,20190306,13,25.227272727272727,0.7131818181818181,31.40909090909091,12.5,90,31.90909090909091,,,,,,,,,,,
Jinan,20190306,9.545454545454543,39.5,0.5822727272727273,143.72727272727272,49.13636363636363,95,107.45454545454544,,,,,,,,,,,
Kunming,20190306,16.454545454545453,26.545454545454547,0.6736363636363637,35.90909090909091,25.13636363636364,72,38.45454545454545,,,,,,,,,,,
Lanzhou,20190306,18.727272727272727,69.95454545454545,1.3509090909090908,86,48.31818181818182,92,69.72727272727273,,,,,,,,,,,
Lhasa,20190306,4.818181818181818,10.681818181818182,0.45,37.27272727272727,13.136363636363637,106,39.95454545454545,,,,,,,,,,,
Nanchang,20190306,6.181818181818182,28.045454545454547,0.8931818181818181,44.90909090909091,23.545454545454547,94,43.86363636363637,,,,,,,,,,,
